model,developer,release_date,parameters,parameter_source,training_flop,confidence,confidence_explanation,estimation_method,alternative_methods,threshold_classification,reasoning,sources,verified,last_updated,notes,blacklist_status
qwen1.5_110b,Alibaba,,110000000000.0,extracted_from_name,1.16e+24,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 2.09e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 110,000,000,000 params × 1,760,000,000,000 tokens = 1.16e+24 FLOP (Chinese model: 110B params * 16 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.062962,,allowed
llama_3.2_90b_vision,Meta,,90000000000.0,extracted_from_name,9.72e+23,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 2.09e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 90,000,000,000 params × 1,800,000,000,000 tokens = 9.72e+23 FLOP (Modern model: 90B params * 20 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.089807,,allowed
llama_2_70b,Meta,,70000000000.0,known_specification:llama_2_70b,8.40e+23,high,Known parameters with documented training tokens,scaling_laws,Benchmark Based: 1.46e+25 (Low),high_confidence_below_1e25,"Known model specification 'llama_2_70b': Chinchilla scaling law: 6 × 70,000,000,000 params × 2,000,000,000,000 tokens = 8.40e+23 FLOP",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.071694,,allowed
llama_3.1_8b,Meta,,8000000000.0,known_specification:llama_3.1_8b,7.20e+23,high,Known parameters with documented training tokens,scaling_laws,Benchmark Based: 1.92e+25 (Low),high_confidence_below_1e25,"Known model specification 'llama_3.1_8b': Chinchilla scaling law: 6 × 8,000,000,000 params × 15,000,000,000,000 tokens = 7.20e+23 FLOP",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.065094,,allowed
llama_3_8b,Meta,,8000000000.0,known_specification:llama_3_8b,7.20e+23,high,Known parameters with documented training tokens,scaling_laws,Benchmark Based: 1.66e+25 (Low),high_confidence_below_1e25,"Known model specification 'llama_3_8b': Chinchilla scaling law: 6 × 8,000,000,000 params × 15,000,000,000,000 tokens = 7.20e+23 FLOP",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.064103,,allowed
llama_3.1_nemotron_70b,Nvidia,,70000000000.0,extracted_from_name,5.88e+23,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 3.75e+25 (Medium),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 70,000,000,000 params × 1,400,000,000,000 tokens = 5.88e+23 FLOP (Modern model: 70B params * 20 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-01T21:13:48.801637,,
llama_3.1_tulu_3_70b,Ai2,,70000000000.0,extracted_from_name,5.88e+23,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 3.48e+25 (Medium),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 70,000,000,000 params × 1,400,000,000,000 tokens = 5.88e+23 FLOP (Modern model: 70B params * 20 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-01T21:13:48.802087,,
llama_3.3_70b,Meta,,70000000000.0,extracted_from_name,5.88e+23,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 2.63e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 70,000,000,000 params × 1,400,000,000,000 tokens = 5.88e+23 FLOP (Modern model: 70B params * 20 tokens/param)",https://www.superclueai.com/ (SuperCLUE - Comprehensive Chinese language understanding benchmark),,2025-08-15T20:32:45.056604,,allowed
athene_v2_chat_72b,NexusFlow,,72000000000.0,extracted_from_name,5.60e+23,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 3.93e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 72,000,000,000 params × 1,296,000,000,000 tokens = 5.60e+23 FLOP (Specialized model: 72B params * 18 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.086467,,allowed
codellama_70b,Meta,,70000000000.0,extracted_from_name,5.29e+23,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 2.31e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 70,000,000,000 params × 1,260,000,000,000 tokens = 5.29e+23 FLOP (Specialized model: 70B params * 18 tokens/param)",CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-15T20:32:45.073799,,allowed
qwen1.5_72b,Alibaba,,72000000000.0,extracted_from_name,4.98e+23,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 2.84e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 72,000,000,000 params × 1,152,000,000,000 tokens = 4.98e+23 FLOP (Chinese model: 72B params * 16 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.063056,,allowed
molmo_72b,Ai2,,72000000000.0,extracted_from_name,4.67e+23,low,Extracted parameters with uncertain training tokens,scaling_laws,,high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 72,000,000,000 params × 1,080,000,000,000 tokens = 4.67e+23 FLOP (Generic estimate: 72B params * 15 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-01T21:13:48.823172,,
athene_70b,NexusFlow,,70000000000.0,extracted_from_name,4.41e+23,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 3.61e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 70,000,000,000 params × 1,050,000,000,000 tokens = 4.41e+23 FLOP (Generic estimate: 70B params * 15 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.058252,,allowed
llama2_70b_steerlm,Nvidia,,70000000000.0,extracted_from_name,4.41e+23,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 2.52e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 70,000,000,000 params × 1,050,000,000,000 tokens = 4.41e+23 FLOP (Generic estimate: 70B params * 15 tokens/param)",CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-15T20:32:45.072042,,allowed
nv_llama2_70b_steerlm,Nvidia,,70000000000.0,extracted_from_name,4.41e+23,low,Extracted parameters with uncertain training tokens,scaling_laws,Benchmark Based: 2.20e+25 (Medium),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 70,000,000,000 params × 1,050,000,000,000 tokens = 4.41e+23 FLOP (Generic estimate: 70B params * 15 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-01T21:13:48.822656,,
pplx_70b_online,Perplexity AI,,70000000000.0,extracted_from_name,4.41e+23,low,Extracted parameters with uncertain training tokens,scaling_laws,Benchmark Based: 2.20e+25 (Medium),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 70,000,000,000 params × 1,050,000,000,000 tokens = 4.41e+23 FLOP (Generic estimate: 70B params * 15 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-01T21:13:48.822751,,
tulu_2_dpo_70b,Ai2,,70000000000.0,extracted_from_name,4.41e+23,low,Extracted parameters with uncertain training tokens,scaling_laws,Benchmark Based: 2.50e+25 (Medium),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 70,000,000,000 params × 1,050,000,000,000 tokens = 4.41e+23 FLOP (Generic estimate: 70B params * 15 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-01T21:13:48.812531,,
wizardlm_70b,Microsoft,,70000000000.0,extracted_from_name,4.41e+23,low,Extracted parameters with uncertain training tokens,scaling_laws,Benchmark Based: 2.41e+25 (Medium),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 70,000,000,000 params × 1,050,000,000,000 tokens = 4.41e+23 FLOP (Generic estimate: 70B params * 15 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-01T21:13:48.810522,,
deepseek_llm_67b,DeepSeek,,67000000000.0,extracted_from_name,4.04e+23,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 1.65e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 67,000,000,000 params × 1,005,000,000,000 tokens = 4.04e+23 FLOP (Generic estimate: 67B params * 15 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.070234,,allowed
qwen2.5_72b,Alibaba,,72000000000.0,extracted_from_name,3.73e+23,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 2.74e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 72,000,000,000 params × 864,000,000,000 tokens = 3.73e+23 FLOP (Mid-era model: 72B params * 12 tokens/param)",https://www.superclueai.com/ (SuperCLUE - Comprehensive Chinese language understanding benchmark),,2025-08-15T20:32:45.058348,,allowed
qwen2.5_vl_72b,Alibaba,,72000000000.0,extracted_from_name,3.73e+23,medium,Known parameters with estimated training tokens,scaling_laws,,high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 72,000,000,000 params × 864,000,000,000 tokens = 3.73e+23 FLOP (Mid-era model: 72B params * 12 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.089108,,allowed
qwen2_72b,Alibaba,,72000000000.0,extracted_from_name,3.73e+23,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 2.44e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 72,000,000,000 params × 864,000,000,000 tokens = 3.73e+23 FLOP (Mid-era model: 72B params * 12 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.061138,,allowed
qwen2_vl_72b,Alibaba,,72000000000.0,extracted_from_name,3.73e+23,medium,Known parameters with estimated training tokens,scaling_laws,,high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 72,000,000,000 params × 864,000,000,000 tokens = 3.73e+23 FLOP (Mid-era model: 72B params * 12 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.089415,,allowed
llama_3.1_nemotron_51b,Nvidia,,51000000000.0,extracted_from_name,3.12e+23,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 3.27e+25 (Medium),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 51,000,000,000 params × 1,020,000,000,000 tokens = 3.12e+23 FLOP (Modern model: 51B params * 20 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-01T21:13:48.802247,,
llama_3.3_nemotron_49b_super,Nvidia,,49000000000.0,extracted_from_name,2.88e+23,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 3.72e+25 (Medium),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 49,000,000,000 params × 980,000,000,000 tokens = 2.88e+23 FLOP (Modern model: 49B params * 20 tokens/param)",LMArena Manual Data Collection (CSV file with manually collected leaderboard data),,2025-08-01T21:13:48.797907,,
llama_3.3_nemotron_49b_super_v1,Nvidia,,49000000000.0,extracted_from_name,2.88e+23,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 3.72e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 49,000,000,000 params × 980,000,000,000 tokens = 2.88e+23 FLOP (Modern model: 49B params * 20 tokens/param)",CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-15T20:32:45.054803,,allowed
llama_3.3_nemotron_super_49b,Nvidia,,49000000000.0,extracted_from_name,2.88e+23,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 4.00e+25 (Medium),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 49,000,000,000 params × 980,000,000,000 tokens = 2.88e+23 FLOP (Modern model: 49B params * 20 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-01T21:13:48.820966,,
llama_3.3_nemotron_super_49b_v1,Meta,,49000000000.0,extracted_from_name,2.88e+23,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 4.06e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 49,000,000,000 params × 980,000,000,000 tokens = 2.88e+23 FLOP (Modern model: 49B params * 20 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.078956,,allowed
llama_3.3_nemotron_super_49b_v1.5,Meta,,49000000000.0,extracted_from_name,2.88e+23,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 4.97e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 49,000,000,000 params × 980,000,000,000 tokens = 2.88e+23 FLOP (Modern model: 49B params * 20 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.078113,,allowed
codellama_34b,Meta,,34000000000.0,extracted_from_name,1.39e+23,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 2.15e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 34,000,000,000 params × 680,000,000,000 tokens = 1.39e+23 FLOP (Modern model: 34B params * 20 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.073413,,allowed
qwen3_32b,Alibaba,,32000000000.0,extracted_from_name,1.23e+23,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 4.51e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 32,000,000,000 params × 640,000,000,000 tokens = 1.23e+23 FLOP (Modern model: 32B params * 20 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.052911,,allowed
yi_1.5_34b,01 AI,,34000000000.0,extracted_from_name,1.11e+23,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 2.25e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 34,000,000,000 params × 544,000,000,000 tokens = 1.11e+23 FLOP (Chinese model: 34B params * 16 tokens/param)",https://www.superclueai.com/ (SuperCLUE - Comprehensive Chinese language understanding benchmark),,2025-08-15T20:32:45.064770,,allowed
yi_34b,01 AI,,34000000000.0,extracted_from_name,1.11e+23,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 2.55e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 34,000,000,000 params × 544,000,000,000 tokens = 1.11e+23 FLOP (Chinese model: 34B params * 16 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.070428,,allowed
qwen3_30b,Alibaba,,30000000000.0,extracted_from_name,1.08e+23,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 4.21e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 30,000,000,000 params × 600,000,000,000 tokens = 1.08e+23 FLOP (Modern model: 30B params * 20 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.054674,,allowed
qwen1.5_32b,Alibaba,,32000000000.0,extracted_from_name,9.83e+22,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 2.70e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 32,000,000,000 params × 512,000,000,000 tokens = 9.83e+22 FLOP (Chinese model: 32B params * 16 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.065234,,allowed
guanaco_33b,UW,,33000000000.0,extracted_from_name,9.80e+22,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 2.30e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 33,000,000,000 params × 495,000,000,000 tokens = 9.80e+22 FLOP (Generic estimate: 33B params * 15 tokens/param)",CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-15T20:32:45.074407,,allowed
vicuna_33b,LMSYS,,33000000000.0,extracted_from_name,9.8e+22,low,Extracted parameters with uncertain training tokens,scaling_laws,Benchmark Based: 2.36e+25 (Medium),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 33,000,000,000 params × 495,000,000,000 tokens = 9.80e+22 FLOP (Generic estimate: 33B params * 15 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-01T21:13:48.813401,,
aya_expanse_32b,Cohere,,32000000000.0,extracted_from_name,9.22e+22,low,Extracted parameters with uncertain training tokens,scaling_laws,Benchmark Based: 3.20e+25 (Medium),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 32,000,000,000 params × 480,000,000,000 tokens = 9.22e+22 FLOP (Generic estimate: 32B params * 15 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-01T21:13:48.822168,,
aya_vision_32b,Cohere,,32000000000.0,extracted_from_name,9.22e+22,low,Extracted parameters with uncertain training tokens,scaling_laws,,high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 32,000,000,000 params × 480,000,000,000 tokens = 9.22e+22 FLOP (Generic estimate: 32B params * 15 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-01T21:13:48.823384,,
c4ai_aya_expanse_32b,Cohere,,32000000000.0,extracted_from_name,9.22e+22,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 3.26e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 32,000,000,000 params × 480,000,000,000 tokens = 9.22e+22 FLOP (Generic estimate: 32B params * 15 tokens/param)",CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-15T20:32:45.061003,,allowed
olmo_2_32b,Ai2,,32000000000.0,extracted_from_name,9.22e+22,low,Extracted parameters with uncertain training tokens,scaling_laws,Benchmark Based: 3.19e+25 (Medium),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 32,000,000,000 params × 480,000,000,000 tokens = 9.22e+22 FLOP (Generic estimate: 32B params * 15 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-01T21:13:48.806630,,
qwq_32b,Alibaba,,32000000000.0,extracted_from_name,9.22e+22,low,Extracted parameters with uncertain training tokens,scaling_laws,Benchmark Based: 4.23e+25 (Medium),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 32,000,000,000 params × 480,000,000,000 tokens = 9.22e+22 FLOP (Generic estimate: 32B params * 15 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-01T21:13:48.794678,,
qwq_32b_preview,Alibaba,,32000000000.0,extracted_from_name,9.22e+22,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 2.58e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 32,000,000,000 params × 480,000,000,000 tokens = 9.22e+22 FLOP (Generic estimate: 32B params * 15 tokens/param)",CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-15T20:32:45.071825,,allowed
gemma_3_27b,Google,,27000000000.0,extracted_from_name,8.75e+22,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 4.36e+25 (Medium),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 27,000,000,000 params × 540,000,000,000 tokens = 8.75e+22 FLOP (Modern model: 27B params * 20 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-01T21:13:48.787558,,
llama_2_7b,Meta,,7000000000.0,known_specification:llama_2_7b,8.40e+22,high,Known parameters with documented training tokens,scaling_laws,Benchmark Based: 2.20e+25 (Low),high_confidence_below_1e25,"Known model specification 'llama_2_7b': Chinchilla scaling law: 6 × 7,000,000,000 params × 2,000,000,000,000 tokens = 8.40e+22 FLOP",CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-15T20:32:45.074816,,allowed
mpt_30b,MosaicML,,30000000000.0,extracted_from_name,8.1e+22,low,Extracted parameters with uncertain training tokens,scaling_laws,Benchmark Based: 2.13e+25 (Medium),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 30,000,000,000 params × 450,000,000,000 tokens = 8.10e+22 FLOP (Generic estimate: 30B params * 15 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-01T21:13:48.815135,,
qwen2.5_coder_32b,Alibaba,,32000000000.0,extracted_from_name,7.37e+22,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 2.78e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 32,000,000,000 params × 384,000,000,000 tokens = 7.37e+22 FLOP (Mid-era model: 32B params * 12 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.060951,,allowed
qwen2.5_vl_32b,Alibaba,,32000000000.0,extracted_from_name,7.37e+22,medium,Known parameters with estimated training tokens,scaling_laws,,high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 32,000,000,000 params × 384,000,000,000 tokens = 7.37e+22 FLOP (Mid-era model: 32B params * 12 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.089024,,allowed
internvl2_26b,OpenGVLab,,26000000000.0,extracted_from_name,6.08e+22,low,Extracted parameters with uncertain training tokens,scaling_laws,,high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 26,000,000,000 params × 390,000,000,000 tokens = 6.08e+22 FLOP (Generic estimate: 26B params * 15 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-01T21:13:48.823259,,
gemma_2_27b,Google,,27000000000.0,extracted_from_name,5.25e+22,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 3.27e+25 (Medium),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 27,000,000,000 params × 324,000,000,000 tokens = 5.25e+22 FLOP (Mid-era model: 27B params * 12 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-01T21:13:48.802802,,
mixtral_8x22b_instruct,Mistral,,22000000000.0,extracted_from_name,5.23e+22,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 1.97e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 22,000,000,000 params × 396,000,000,000 tokens = 5.23e+22 FLOP (Specialized model: 22B params * 18 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.063289,,allowed
mixtral_8x22b,Mistral,,22000000000.0,extracted_from_name,4.36e+22,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 2.08e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 22,000,000,000 params × 330,000,000,000 tokens = 4.36e+22 FLOP (Generic estimate: 22B params * 15 tokens/param)",https://www.superclueai.com/ (SuperCLUE - Comprehensive Chinese language understanding benchmark),,2025-08-15T20:32:45.092706,,allowed
mistral_small_24b,Mistral,,24000000000.0,extracted_from_name,4.15e+22,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 3.31e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 24,000,000,000 params × 288,000,000,000 tokens = 4.15e+22 FLOP (Mid-era model: 24B params * 12 tokens/param)",CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-15T20:32:45.060788,,allowed
mistral_small_3.1_24b,Mistral,,24000000000.0,extracted_from_name,4.15e+22,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 2.92e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 24,000,000,000 params × 288,000,000,000 tokens = 4.15e+22 FLOP (Mid-era model: 24B params * 12 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.058699,,allowed
mistral_small_3_24b,Mistral,,24000000000.0,extracted_from_name,4.15e+22,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 2.74e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 24,000,000,000 params × 288,000,000,000 tokens = 4.15e+22 FLOP (Mid-era model: 24B params * 12 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.087574,,allowed
reka_flash_21b,Reka AI,,21000000000.0,extracted_from_name,3.97e+22,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 2.97e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 21,000,000,000 params × 315,000,000,000 tokens = 3.97e+22 FLOP (Generic estimate: 21B params * 15 tokens/param)",CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-15T20:32:45.063504,,allowed
reka_flash_21b_online,Reka AI,,21000000000.0,extracted_from_name,3.97e+22,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 3.01e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 21,000,000,000 params × 315,000,000,000 tokens = 3.97e+22 FLOP (Generic estimate: 21B params * 15 tokens/param)",CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-15T20:32:45.063112,,allowed
